Date,DIS,GE,GILD,GOOGL,KMI,OIL,T,TSLA,WMT
2011-08-04,35.349998,15.836538,18.715,289.049042,26.469999,26.469999,28.780001,24.75,50.099998
2011-08-05,35.18,15.875,18.879999,289.809814,25.92,25.92,28.93,24.24,50.849998
2011-08-08,33.029999,14.836538,18.41,273.283295,23.66,23.66,27.700001,23.639999,48.919998
2011-08-09,34.700001,15.346154,19.07,286.992004,25.92,25.92,28.85,25.059999,50.82
2011-08-10,31.540001,14.509615,17.67,274.779785,26.049999,26.049999,27.879999,23.82,48.41
2011-08-11,32.119999,15.076923,18.434999,281.346344,27.450001,27.450001,28.440001,25.299999,49.73
2011-08-12,33.09,15.269231,18.715,282.167175,26.77,26.77,28.219999,26.309999,49.75
2011-08-15,33.650002,15.759615,18.635,278.89389,27.08,27.08,28.809999,26.23,49.98
2011-08-16,33.419998,15.528846,19.424999,269.769775,26.5,26.5,28.790001,26.1,51.919998
2011-08-17,33.369999,15.605769,19.225,266.841827,26.280001,26.280001,29.17,25.83,51.549999
2011-08-18,32.549999,14.75,18.645,252.692688,24.82,24.82,28.459999,24.26,51.790001
2011-08-19,31.85,14.509615,18.6,245.705704,23.82,23.82,27.99,22.299999,52.299999
2011-08-22,32.02,14.528846,18.92,249.334335,23.76,23.76,28.450001,21.950001,52.189999
2011-08-23,32.110001,14.942307,19.52,259.669678,24.540001,24.540001,28.98,22.959999,53.209999
2011-08-24,32.509998,15.115385,19.075001,261.906921,24.450001,24.450001,29.43,23.870001,53.369999
2011-08-25,32.009998,14.855769,19.030001,260.280273,24.450001,24.450001,29.059999,23.110001,52.700001
2011-08-26,32.400002,14.942307,19.365,263.693695,24.780001,24.780001,29.040001,23.73,52.900002
2011-08-29,33.16,15.423077,19.895,269.809814,25.309999,25.309999,29.26,24.709999,53.189999
2011-08-30,33.580002,15.5,20.049999,270.620605,25.370001,25.370001,29.620001,24.629999,52.82
2011-08-31,34.060001,15.682693,19.940001,270.750763,25.85,25.85,28.48,24.74,53.189999
2011-09-01,33.380001,15.576923,19.785,266.51651,25.719999,25.719999,28.27,24,52.650002
2011-09-02,32.459999,15.153846,19.41,262.682678,25.190001,25.190001,28.049999,23.07,52.029999
2011-09-06,31.76,14.663462,19.32,261.351349,25.370001,25.370001,27.83,22.940001,51.68
2011-09-07,32.630001,15.192307,19.9,267.282288,25.440001,25.440001,28.129999,23.84,52.419998
2011-09-08,31.950001,14.990385,19.754999,267.747742,25.4,25.4,27.959999,23.610001,52.209999
2011-09-09,31.040001,14.509615,18.905001,262.687683,24.85,24.85,27.540001,22.969999,51.360001
2011-09-12,31.290001,14.432693,18.99,265.325317,24.959999,24.959999,27.879999,22.879999,51.82
2011-09-13,31.450001,14.817307,19.105,265.025024,24.969999,24.969999,28.120001,24.08,51.59
2011-09-14,32.290001,15.182693,19.690001,266.3013,25.25,25.25,28.26,24.34,52.200001
2011-09-15,32.939999,15.461538,19.91,271.551544,25.540001,25.540001,28.540001,24.82,52.509998
2011-09-16,32.91,15.701923,20.205,273.613617,25.5,25.5,28.940001,25.799999,52.650002
2011-09-19,32.509998,15.557693,20.025,273.608612,26.68,26.68,28.58,25.77,52.450001
2011-09-20,32.310001,15.423077,20.42,273.588593,26.700001,26.700001,28.85,26.01,52.290001
2011-09-21,31.280001,14.788462,19.834999,269.869873,26.549999,26.549999,28.299999,25.85,51.32
2011-09-22,29.549999,14.461538,19.17,260.590576,25.690001,25.690001,27.75,25.629999,50.279999
2011-09-23,29.83,14.625,19.215,263.018005,25.52,25.52,27.85,26.379999,50.799999
2011-09-26,30.299999,14.971154,19.775,266.211212,26.34,26.34,28.34,25.52,51.830002
2011-09-27,31.16,15.153846,20.025,269.939941,27.030001,27.030001,28.67,26.190001,52.029999
2011-09-28,30.48,14.855769,19.59,264.684692,26.620001,26.620001,28.549999,24.59,51.310001
2011-09-29,30.65,15.25,19.625,264.014008,26.32,26.32,28.84,24.120001,51.93
2011-09-30,30.16,14.634615,19.4,257.777771,25.889999,25.889999,28.52,24.389999,51.900002
2011-10-03,29,14.125,18.905001,248.008011,25.48,25.48,28.16,23.73,51.959999
2011-10-04,29.860001,14.288462,18.940001,251.201202,26.049999,26.049999,28.309999,23.66,52.880001
2011-10-05,31.51,14.682693,19.575001,252.6026,26.59,26.59,28.309999,25.370001,52.650002
2011-10-06,32.029999,14.932693,19.825001,257.61261,26.700001,26.700001,28.41,26.959999,52.75
